# kind,domain,value
# kind: exact | prefix | contains
#
# HTTP/WS 边界约定（v10）：
# - list_projects / list_workspaces / list_tasks / list_templates / export_template
#   → WS 读取已移除，必须通过 HTTP /api/v1/projects /workspaces /tasks /templates 读取
# - get_client_settings / term_list
#   → WS 读取已移除，必须通过 HTTP /api/v1/client-settings /api/v1/terminals 读取
# - file_list / file_index / file_read
#   → WS 读取已移除，必须通过 HTTP /api/v1/projects/:project/workspaces/:workspace/files... 读取
# - git_status / git_diff / git_branches / git_log / git_show / git_op_status /
#   git_integration_status / git_check_branch_up_to_date / git_conflict_detail
#   → WS 读取已移除，必须通过 HTTP /api/v1/projects/:project/.../git... 读取
# - ai_session_list / ai_session_messages / ai_session_status /
#   ai_provider_list / ai_agent_list / ai_slash_commands / ai_session_config_options
#   → WS 读取已移除，Core 返回 read_via_http_required，必须通过 HTTP /api/v1/projects/:project/workspaces/:workspace/ai/... 读取
# - evo_get_snapshot / evo_get_agent_profile / evo_list_cycle_history
#   → WS 读取已移除，Core 返回 read_via_http_required，必须通过 HTTP /api/v1/evolution/... 读取
#
# 多工作区边界：所有 domain 的 HTTP 响应和 WS 事件必须携带 (project, workspace) 字段；
# 不允许仅凭 workspace 名称路由，不允许以 default 或当前选中工作区作为隐含单例。
exact,system,ping
prefix,terminal,term_
exact,terminal,spawn_terminal
exact,terminal,kill_terminal
exact,terminal,input
exact,terminal,resize
prefix,file,file_
prefix,file,watch_
exact,file,clipboard_image_upload
prefix,git,git_
exact,git,cancel_ai_task
prefix,project,list_
prefix,project,select_
prefix,project,import_
prefix,project,create_
prefix,project,remove_
prefix,project,project_
prefix,project,workspace_
prefix,project,save_project_commands
prefix,project,run_project_command
prefix,project,cancel_project_command
exact,project,save_template
exact,project,delete_template
exact,project,export_template
exact,project,import_template
exact,project,templates
prefix,project,template_
contains,settings,client_settings
exact,node,node_refresh_network
prefix,node,node_
prefix,ai,ai_
prefix,evolution,evo_
# v1.40: 冲突向导（已由 git 前缀规则覆盖，此处作文档显式说明）
prefix,git,git_conflict_
# v1.41: 系统健康诊断与自修复域
prefix,health,health_
# v1.43: 编辑器格式化（由 file_ 前缀规则覆盖）
# file_format_capabilities_query → file domain
# file_format_execute → file domain
